# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977  of event 'cycles:u'
# Event count (approx.): 933124532
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68690
     0.11%  async            [unknown]                   [k] 0xffffffffb7905653
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a58bd
     0.11%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000018ab6
     0.11%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_sort_maps
     0.11%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_device_is_accessible
     0.11%  async            libpthread-2.28.so          [.] __pthread_rwlock_rdlock
     0.11%  srun             [unknown]                   [k] 0xffffffffb78f0765
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb766ed9d
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] __strchr_avx2
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb772591f
     0.10%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ud_ep_process_rx
     0.10%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0d
     0.10%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_iface_progress_ep
     0.10%  srun             libslurmfull.so             [.] slurm_xstrcmp
     0.10%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] ucp_worker_progress@plt
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vsnprintf
     0.09%  prterun          libc-2.28.so                [.] __memmove_avx_unaligned_erms
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d99e7
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] hack_digit
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e55aa
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_decrease_refcount.part.4
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.09%  async            [unknown]                   [k] 0xffffffffb76e5687
     0.09%  prterun          [unknown]                   [k] 0xffffffffb7a34046
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984a5b
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e5563c
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984de7
     0.09%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress_fast
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.09%  prterun          [unknown]                   [k] 0xffffffffb78d4abb
     0.09%  async            [unknown]                   [k] 0xffffffffb7905c18
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c60b5
     0.08%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] PMIx_Load_nspace
     0.08%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_mem_alloc
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d4abb
     0.08%  prterun          [unknown]                   [k] 0xffffffffb78108d2
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e47670
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800006c
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __correctly_grouped_prefixwc
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797c1d6
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7603fe4
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7857ed1
     0.08%  prterun          libc-2.28.so                [.] _IO_fgets
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e630af
     0.08%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_val
     0.07%  srun             [unknown]                   [k] 0xffffffffb7984b5f
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4e977
     0.07%  srun             libc-2.28.so                [.] calc_eclosure_iter
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f05c
     0.07%  prterun          [unknown]                   [k] 0xffffffffb7984a5b
     0.07%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_select_elem_init_thresh
     0.07%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_free
     0.07%  async            [unknown]                   [k] 0xffffffffb76e98ca
     0.07%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_devx_modify_qp
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800003b
     0.07%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_pointer_array_add
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2cc
     0.07%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_get_am_bcopy_probe
     0.07%  prterun          libc-2.28.so                [.] __memchr_avx2
     0.07%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000022b62
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7835baf
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e96ae
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7931e40
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000043
     0.07%  prterun          libnl-route-3.so.200.26.0   [.] rtnl_tc_type_register
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7900289
