# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 984406205
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
     0.08%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] 0x0000000000021940
     0.08%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix41_pack
     0.08%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.08%  async            [unknown]                   [k] 0xffffffffb7e68491
     0.07%  oshm_get_mr.exe  ld-2.28.so                  [.] dl_open_worker
     0.07%  async            [unknown]                   [k] 0xffffffffb78d8e11
     0.07%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_old_init
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb772591f
     0.07%  prterun          [unknown]                   [k] 0xffffffffb794525c
     0.07%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_rndv_recv_ppln_probe
     0.07%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc16
     0.07%  async            [unknown]                   [k] 0xffffffffb7a1eb16
     0.07%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7945220
     0.07%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_cmd
     0.07%  async            [unknown]                   [k] 0xffffffffb7907680
     0.07%  prterun          libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_val
     0.07%  oshm_get_mr.exe  libnuma.so.1.0.0            [.] numa_node_size64
     0.07%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_memtrack_is_enabled@plt
     0.07%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc5c
     0.07%  prterun          libc-2.28.so                [.] malloc_consolidate
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e65367
     0.06%  prterun          libc-2.28.so                [.] realloc
     0.06%  prterun          libc-2.28.so                [.] _IO_strn_overflow
     0.06%  prterun          [unknown]                   [k] 0xffffffffb7a34110
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __strdup
     0.06%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_relocate_object
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68827
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_rndv_rtr_mtype_probe
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000089
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6286f
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7604179
     0.06%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] strcmp@plt
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e96ae
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb788a5cd
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9697
     0.06%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object_deps
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vasprintf
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b7
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c94
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6289b
     0.06%  srun             ld-2.28.so                  [.] do_lookup_x
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984e90
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfc
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c6110
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_arch_x86_tsc_freq_measure
     0.06%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009c9
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1eb11
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_async_handler_add
     0.06%  srun             ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.06%  prterun          libc-2.28.so                [.] _int_free
     0.06%  prterun          libpmix.so.2.13.3           [.] flex128_encode_int
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d50f0
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f2f1
     0.06%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_bml_r2_finalize
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7a0d4a1
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78a04bb
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78238f0
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] 0x00000000000218e0
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] __correctly_grouped_prefixmb
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getc
     0.05%  prterun          libc-2.28.so                [.] __rawmemchr_avx2
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797bc75
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78b9d19
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7b6f56f
     0.05%  prterun          libhwloc.so.5.7.6           [.] 0x000000000000a640
     0.05%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_add_tl_resources
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78dfdb0
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.05%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_iface_recv_desc_init
     0.05%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.05%  prterun          [unknown]                   [k] 0xffffffffb76041cf
     0.05%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_device_query_gid_info
     0.04%  prterun          ld-2.28.so                  [.] _dl_fixup
     0.04%  prterun          libc-2.28.so                [.] __memmove_avx_unaligned_erms
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a15d30
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_find_by_obj
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_parser_set_default_values
     0.04%  prterun          libc-2.28.so                [.] __memmove_avx_unaligned
     0.04%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_mm_iface_recv_desc_init
