# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 988  of event 'cycles:u'
# Event count (approx.): 955455892
#
# Overhead  Command          Shared Object               Symbol                                               
# ........  ...............  ..........................  .....................................................
#
     0.11%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_read_file
     0.11%  async            libc-2.28.so                [.] epoll_wait
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.10%  async            [unknown]                   [k] 0xffffffffb76e5b09
     0.10%  prterun          libpmix.so.2.13.3           [.] pmix_mca_base_var_generate_full_name4
     0.10%  async            [unknown]                   [k] 0xffffffffb800019e
     0.10%  srun             libc-2.28.so                [.] __strncmp_avx2
     0.10%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_mp_obj_init
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76238d5
     0.10%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_iface_is_reachable_v2
     0.10%  prterun          libc-2.28.so                [.] __memmove_avx_unaligned_erms
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a3408f
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_select_add_proto
     0.09%  async            [unknown]                   [k] 0xffffffffb76e96dc
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57925
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76faf1e
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_common_lane_perf_node
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4a66b
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76ecf7f
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_class_malloc
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000018ab6
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c9d5a
     0.09%  prterun          [unknown]                   [k] 0xffffffffb7e64978
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6569e
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7900159
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_sscanf_ulunits
     0.09%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_hash_lookup_key
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03c25f3
     0.08%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000033986
     0.08%  async            libc-2.28.so                [.] __sched_yield
     0.08%  prterun          ld-2.28.so                  [.] strcmp
     0.08%  oshrun           libc-2.28.so                [.] __strncmp_avx2
     0.08%  async            [unknown]                   [k] 0xffffffffb76041ed
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984b5f
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_apply_config_vars
     0.08%  oshrun           libc-2.28.so                [.] __strlen_avx2
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9947
     0.08%  prterun          libc-2.28.so                [.] realloc
     0.08%  async            [unknown]                   [k] 0xffffffffb7e68816
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee8f
