# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 1103342927
#
# Overhead  Command          Shared Object               Symbol                                    
# ........  ...............  ..........................  ..........................................
#
     0.08%  srun             libc-2.28.so                [.] re_node_set_contains.isra.2
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __mpn_divrem
     0.08%  async            [unknown]                   [k] 0xffffffffb800001c
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c60d8
     0.08%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_log_indent
     0.08%  async            [unknown]                   [k] 0xffffffffb78d8e11
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76dd591
     0.07%  async            [unknown]                   [k] 0xffffffffb7a1eb08
     0.07%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_async_remove_handler
     0.07%  async            [unknown]                   [k] 0xffffffffb7736c94
     0.07%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vasprintf
     0.07%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_mca_base_var_group_add_var
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984a50
     0.07%  prterun          ld-2.28.so                  [.] _dl_fixup
     0.07%  prterun          ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76dd563
     0.07%  prterun          libc-2.28.so                [.] getenv
     0.07%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000022b9a
     0.07%  oshm_get_mr.exe  libevent_core-2.1.so.6.0.2  [.] 0x000000000001f720
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1eae3
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a34046
     0.07%  async            libc-2.28.so                [.] epoll_wait
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c478e
     0.07%  async            [unknown]                   [k] 0xffffffffb76f1450
     0.07%  prterun          [unknown]                   [k] 0xffffffffc0e76c12
     0.07%  async            [unknown]                   [k] 0xffffffffb78d8dd7
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e5563c
     0.07%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.06%  async            libucs.so.0.0.0             [.] ucs_async_thread_func
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7667e09
     0.06%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.06%  async            [unknown]                   [k] 0xffffffffb7e6569e
     0.06%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_util_keyval_yylex
     0.06%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_tx_ops_init
     0.06%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] flex128_get_max_size
     0.06%  async            [unknown]                   [k] 0xffffffffb7905ad7
     0.06%  prterun          [unknown]                   [k] 0xffffffffb7984b5f
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e515c6
     0.06%  async            libucs.so.0.0.0             [.] pthread_spin_trylock@plt
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_rndv_ctrl_get_md_map
     0.06%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_dl_close
     0.06%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_posix_query
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2d4
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000018ab6
     0.06%  prterun          [unknown]                   [k] 0xffffffffb780d2ad
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e3cc3
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e969a
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76dd52b
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b0
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6289b
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76f1450
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] mlx5dv_devx_create_event_channel
     0.06%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] group_register
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_common_get_lane_perf
     0.06%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_devx_reg_atomic_key
     0.06%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_hash_table_set_value_ptr
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] str_to_mpn.isra.0
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000a32
     0.06%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] strcmp@plt
     0.06%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_common_query
     0.05%  prterun          libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.05%  prterun          libc-2.28.so                [.] realloc
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784d58c
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_arch_x86_tsc_freq_measure
     0.05%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009cd
     0.05%  prterun          libc-2.28.so                [.] _int_malloc
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d8b5e
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e48b96
     0.05%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_close_worker
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78b9d10
     0.05%  srun             libc-2.28.so                [.] re_search_internal
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7934cd5
     0.05%  srun             libc-2.28.so                [.] re_string_context_at
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_find_by_path
     0.05%  prterun          libhwloc.so.5.7.6           [.] 0x000000000000970c
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_apply_config_vars
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f234
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78c632a
     0.05%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e64960
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7707851
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78dfeac
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c5986
     0.04%  prterun          libc-2.28.so                [.] _IO_str_init_static_internal
     0.04%  oshm_get_mr.exe  librdmacm.so.1.2.28.0       [.] 0x0000000000006262
     0.04%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbe9
     0.04%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc16
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a5747
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7a34110
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee45
     0.04%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_srq_post_recv
     0.04%  prterun          ld-2.28.so                  [.] _dl_next_ld_env_entry
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7810854
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e68800
     0.04%  prterun          libc-2.28.so                [.] __rawmemchr_avx2
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7945232
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000a88
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78c56ab
     0.04%  prterun          [unknown]                   [k] 0xffffffffb79452c1
     0.04%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000028947
     0.04%  prterun          [unknown]                   [k] 0xffffffffb794485d
     0.03%  prterun          libhwloc.so.5.7.6           [.] hwloc_bitmap_weight
     0.03%  prterun          ld-2.28.so                  [.] _dl_relocate_object
     0.03%  prterun          [unknown]                   [k] 0xffffffffb8000013
     0.03%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_mca_base_var_generate_full_name4
     0.03%  prterun          [unknown]                   [k] 0xffffffffb78c4953
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb766ed9d
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1eb11
     0.03%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_output_check_verbosity
     0.03%  prterun          [unknown]                   [k] 0xffffffffb78b16dc
     0.03%  oshrun           libc-2.28.so                [.] _dl_addr
     0.03%  oshrun           libc-2.28.so                [.] _int_malloc
     0.03%  prterun          [unknown]                   [k] 0xffffffffb7a15ce3
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7844b23
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f2ed
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4e989
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee9d
     0.03%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_file_underflow@@GLIBC_2.2.5
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03c028e
     0.03%  prterun          [unknown]                   [k] 0xffffffffb7887607
     0.03%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] flex128_decode_int
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57925
     0.02%  prterun          libc-2.28.so                [.] __strcmp_avx2
     0.02%  oshm_get_mr.exe  ld-2.28.so                  [.] check_match
     0.02%  prterun          [unknown]                   [k] 0xffffffffb7e6855b
     0.01%  prterun          [unknown]                   [k] 0xffffffffb77074b0
     0.01%  prterun          libc-2.28.so                [.] __strncmp_avx2
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d50f0
     0.01%  oshrun           ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.01%  oshrun           ld-2.28.so                  [.] _dl_relocate_object
     0.01%  srun             libc-2.28.so                [.] re_node_set_add_intersect
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7984b16
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016b3c
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000027594
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_cache_libcmp
     0.01%  oshrun           [unknown]                   [k] 0xffffffffb780d2ad
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78dc500
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc1716f04
     0.01%  srun             ld-2.28.so                  [.] check_match
     0.01%  srun             [unknown]                   [k] 0xffffffffc08d49de
     0.01%  prterun          libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_info_directives
     0.01%  prterun          libpmix.so.2.13.3           [.] pmix_util_harvest_envars
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c5cf8
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78c5fe0
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78c5cfc
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7738182
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e47663
     0.00%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_load_cache_lookup
     0.00%  oshrun           ld-2.28.so                  [.] _dl_check_all_versions
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7978dc2
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7984a50
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb780ba17
     0.00%  oshrun           ld-2.28.so                  [.] _dl_map_object_from_fd
     0.00%  prterun          libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] memcpy@plt
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a5773
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55467
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e6c189
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb787246d
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc170a892
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e68800
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb781a98c
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0d2b737
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78dc551
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7975a7e
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a34060
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb797c19f
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797c2f8
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecc0
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7984c72
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7738144
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7e47670
     0.00%  srun             ld-2.28.so                  [.] __GI___tunables_init
     0.00%  srun             ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.00%  srun             libslurmfull.so             [.] _server_writable
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7a1eb11
     0.00%  srun             [unknown]                   [k] 0xffffffffb7d7e655
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7855264
     0.00%  srun             [unknown]                   [k] 0xffffffffb78d01d8
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78a58ce
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7978dc8
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_ptl_base_recv_handler
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb797c2dc
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb785f836
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e5b149
     0.00%  prterun          libpmix.so.2.13.3           [.] pmix_list_construct
     0.00%  prterun          libevent_core-2.1.so.6.0.2  [.] event_del_nolock_
     0.00%  prterun          [unknown]                   [k] 0xffffffffb785021c
     0.00%  prterun          [unknown]                   [k] 0xffffffffb781983e
     0.00%  prterun          libc-2.28.so                [.] __sched_cpufree
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc0e6d57b
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e48b96
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb8000010
     0.00%  oshrun           ld-2.28.so                  [.] _dl_cache_libcmp
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78c5d00
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb797870a
     0.00%  prterun          libc-2.28.so                [.] sched_setaffinity@@GLIBC_2.3.4
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7984b5f
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000006204
     0.00%  srun             libc-2.28.so                [.] __ctype_init
     0.00%  srun             libc-2.28.so                [.] __fcntl64_nocancel_adjusted
     0.00%  srun             libpthread-2.28.so          [.] start_thread
     0.00%  srun             libslurmfull.so             [.] slurm_get_log_level
     0.00%  srun             [unknown]                   [k] 0xffffffffb78947c5
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78c5a3c
     0.00%  prterun          [unknown]                   [k] 0xffffffffb8001133
     0.00%  prterun          libpthread-2.28.so          [.] start_thread
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb76d88c6
     0.00%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626b15
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76c249d
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7cd2325
     0.00%  prterun          libhwloc.so.5.7.6           [.] hwloc_linux_set_tid_cpubind
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7a15cd9
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000003016c
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e5fb
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ec5d
     0.00%  prterun          libc-2.28.so                [.] __call_tls_dtors
     0.00%  prterun          libc-2.28.so                [.] __res_thread_freeres
     0.00%  prterun          libevent_core-2.1.so.6.0.2  [.] event_active_nolock_
     0.00%  prterun          [unknown]                   [k] 0xffffffffb76041c6
     0.00%  srun             [unknown]                   [k] 0xffffffffb761d53e
     0.00%  srun             [unknown]                   [k] 0xffffffffb7855264
     0.00%  prterun          libc-2.28.so                [.] __libc_disable_asynccancel
