# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.10%  oshm_get_mr.exe  libpmix.so.2.13.3        [.] pmix_hash_lookup_key
     0.10%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e687f0
     0.10%  oshm_get_mr.exe  libc-2.28.so             [.] __libc_calloc
     0.10%  oshm_get_mr.exe  libmlx5.so.1.12.28.0     [.] 0x000000000002bc54
     0.10%  oshm_get_mr.exe  libpthread-2.28.so       [.] __pthread_once_slow
     0.10%  async            [unknown]                [k] 0xffffffffb7905640
     0.10%  srun             libc-2.28.so             [.] re_compile_internal
     0.10%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb797c1b8
     0.10%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7626b10
     0.10%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e4ee9d
     0.10%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e57925
     0.10%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_worker_discard_uct_ep_complete
     0.09%  prterun          libpmix.so.2.13.3        [.] pmix_bfrops_base_tma_value_destruct
     0.09%  oshm_get_mr.exe  libhwloc.so.5.7.6        [.] 0x000000000001b7ac
     0.09%  srun             libc-2.28.so             [.] re_node_set_add_intersect
     0.09%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] mca_threads_mutex_constructor
     0.09%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7901e65
     0.09%  oshm_get_mr.exe  libuct.so.0.0.0          [.] uct_iface_mp_obj_init
     0.09%  oshm_get_mr.exe  libpthread-2.28.so       [.] __pthread_mutex_unlock_usercnt
     0.09%  prterun          libc-2.28.so             [.] __memmove_avx_unaligned
     0.09%  async            [unknown]                [k] 0xffffffffb76f170d
     0.09%  oshm_get_mr.exe  libuct.so.0.0.0          [.] uct_self_iface_query
     0.09%  oshm_get_mr.exe  ld-2.28.so               [.] dl_open_worker
     0.09%  oshm_get_mr.exe  ld-2.28.so               [.] check_match
     0.09%  oshm_get_mr.exe  libc-2.28.so             [.] __GI_____strtoll_l_internal
     0.09%  oshm_get_mr.exe  libc-2.28.so             [.] _i18n_number_rewrite
     0.09%  oshm_get_mr.exe  libpmix.so.2.13.3        [.] component_query
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7887fce
     0.08%  oshm_get_mr.exe  libc-2.28.so             [.] 0x000000000000e3c9
     0.08%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] opal_lifo_construct
     0.08%  async            [unknown]                [k] 0xffffffffb76e939b
     0.08%  oshm_get_mr.exe  libuct.so.0.0.0          [.] uct_iface_scope_is_reachable
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7984da0
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e515b0
     0.08%  prterun          libc-2.28.so             [.] __strncat_ssse3
