# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 947503536
#
# Overhead  Command          Shared Object               Symbol                                        
# ........  ...............  ..........................  ..............................................
#
     0.00%  prterun          libpmix.so.2.13.3           [.] PMIx_Check_key
     0.00%  prterun          libhwloc.so.5.7.6           [.] hwloc_bitmap_intersects
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecfa
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc0e60e7f
     0.00%  oshrun           ld-2.28.so                  [.] _dl_cache_libcmp
     0.00%  prterun          [unknown]                   [k] 0xffffffffb797d3dc
     0.00%  srun             libc-2.28.so                [.] __strpbrk_sse42
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7810b5c
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7738154
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb786f55e
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7835502
     0.00%  srun             [unknown]                   [k] 0xffffffffb797cbf8
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc171a562
     0.00%  prterun          libc-2.28.so                [.] get_free_list
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7738131
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] read_bytes
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e68800
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7879dd7
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb79786f5
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb776d785
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7626b15
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb797c1b8
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb797c19f
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb780da85
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7844429
     0.00%  prterun          [unknown]                   [k] 0xffffffffb785526a
     0.00%  srun             libslurmfull.so             [.] eio_handle_mainloop@plt
     0.00%  srun             libslurmfull.so             [.] slurm_eio_handle_mainloop
     0.00%  srun             [unknown]                   [k] 0xffffffffb7cd1bb0
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7837745
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb784f339
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e48d5a
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7835abb
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc0e65057
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7849d8c
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e48835
     0.00%  prterun          libc-2.28.so                [.] sched_setaffinity@@GLIBC_2.3.4
