# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.10%  prterun          libc-2.28.so                [.] __strchr_avx2
     0.09%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_dte_3op_reduce
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_add
     0.09%  oshm_get_mr.exe  librt-2.28.so               [.] frame_dummy
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000018ab6
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55643
     0.09%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_hash_lookup_key
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] __mpn_cmp
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c9d37
     0.09%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] strncat@plt
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e64978
     0.09%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_hash_table_get_value_ptr
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9962
     0.09%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a15c94
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_parser_fill_opts
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55641
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c5d00
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57c77
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_array_grow
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e6459b
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a15d30
     0.08%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hmca_coll_ml_build_filtered_fn_table
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_strncpy_zero
     0.08%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_dereg_mr
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e685f2
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f08f
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9705
     0.08%  async            [unknown]                   [k] 0xffffffffb76e55cd
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb776d706
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _int_realloc
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7905655
     0.08%  prterun          [unknown]                   [k] 0xffffffffb78c4a3c
     0.08%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     0.07%  prterun          libhwloc.so.5.7.6           [.] 0x00000000000230f9
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4eff1
     0.07%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x00000000000339c7
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7900159
     0.07%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_relocate_object
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b8
     0.07%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_arm_cq_check
     0.07%  prterun          libc-2.28.so                [.] _IO_strn_overflow
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887479
     0.07%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_srq_post_recv
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7627290
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984b5f
     0.07%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_util_keyval_yylex
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d8e11
     0.07%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_irecv_init
     0.07%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc57
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c72
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e51635
     0.07%  prterun          [unknown]                   [k] 0xffffffffb78c5c71
     0.07%  srun             libc-2.28.so                [.] cfree@GLIBC_2.2.5
